"Variable","OR","CI_Lower","CI_Upper"
"item_price_scaled",0.7012743002366,0.665810235738445,0.73822610574575
"tenure_num",1.05362585421649,1.02030065816592,1.08805903528342
"channelInbound",1.39858933047485,1.13505035407569,1.7201891037008
"channelOutcall",1.56703086953405,1.22305415859391,2.0067904965796
