"Variable","Estimate","Std_Error","z_value","p_value"
"item_price_scaled",-0.354856170001809,0.0263328978624511,-13.4757736066644,9.03870408500839e-41
"tenure_num",0.0522374100757121,0.0164014372595871,3.18492881135632,0.00145566248672976
"channelInbound",0.335464107540419,0.105994049384282,3.16493340417811,0.0015593137721372
"channelOutcall",0.449182662946311,0.126273745566625,3.55721342493409,0.00037784260201703
