"Model","Accuracy","Kappa","Sensitivity","Specificity"
"Naive Bayes",0.677733257012021,0.0447868603455256,0.951505016722408,0.0834845735027223
"Logistic Regression",0.322839152833429,-0.0170737600805508,0.0426421404682274,0.931034482758621
